update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
16,139264,-0.06813929888448911,912.1971500962973,0.1056088430541422,92097185054720.0,40490112122880.0,107147346051072.0,133656806948864.0,92097185054720.0,40490112122880.0,107147346051072.0,133656806948864.0,223630573568.0,95722127360.0,263403077632.0,322953183232.0
17,147456,-0.07469739940233922,543.7909220457077,0.07127477078574884,136667033763840.0,60817147953152.0,158923906613248.0,198320987308032.0,136667033763840.0,60817147953152.0,158923906613248.0,198320987308032.0,315727773696.0,136212242432.0,370550439936.0,456609988608.0
18,155648,-0.06544977950943576,603.7063583508134,0.1600882774719139,171445179121664.0,77014719528960.0,199636740472832.0,249156018896896.0,171445179121664.0,77014719528960.0,199636740472832.0,249156018896896.0,452394811392.0,197029396480.0,529474355200.0,654931001344.0
19,163840,-0.07103234958867688,586.6708794236183,0.24014405838170205,228563764641792.0,103928318394368.0,266531762077696.0,332205217808384.0,228563764641792.0,103928318394368.0,266531762077696.0,332205217808384.0,623840002048.0,274044125184.0,729111068672.0,904087011328.0
20,172032,-0.05709213143745728,610.9830542057753,0.17781985650071874,288796218228736.0,132097909981184.0,337403906621440.0,421242104446976.0,288796218228736.0,132097909981184.0,337403906621440.0,421242104446976.0,852403814400.0,377972457472.0,995642834944.0,1236292206592.0
21,180224,-0.08736276800937048,720.0219049304724,0.2375710622727638,278186088726528.0,127628803571712.0,325634823815168.0,407604845084672.0,278186088726528.0,127628803571712.0,325634823815168.0,407604845084672.0,1141200125952.0,510070358016.0,1333046804480.0,1657534283776.0
22,188416,-0.07504839755256398,380.08444728702307,0.1548782028912683,364235775279104.0,169228573343744.0,426949109350400.0,532795021590528.0,364235775279104.0,169228573343744.0,426949109350400.0,532795021590528.0,1419386290176.0,637699162112.0,1658681688064.0,2065139105792.0
23,196608,-0.07162463163695065,423.5451416783035,0.14668701294795028,403023188721664.0,187348520271872.0,473381262589952.0,592574490345472.0,403023188721664.0,187348520271872.0,473381262589952.0,592574490345472.0,1783622008832.0,806927728640.0,2085630771200.0,2597934071808.0
24,204800,-0.05691525994006952,358.5516014918685,0.0995497048809284,546523750334464.0,255103474860032.0,643014988922880.0,805215905251328.0,546523750334464.0,255103474860032.0,643014988922880.0,805215905251328.0,2186645209088.0,994276278272.0,2559011979264.0,3190508486656.0
25,212992,-0.0763939644830316,577.2118097469211,0.25839887071197154,721682348113920.0,340391861682176.0,850130190204928.0,1061008588144640.0,721682348113920.0,340391861682176.0,850130190204928.0,1061008588144640.0,2733168918528.0,1249379745792.0,3202027094016.0,3995724414976.0
26,221184,-0.09047408522383193,382.149590972811,0.36600197981169913,804945255202816.0,382848250937344.0,949725247307776.0,1183901561126912.0,804945255202816.0,382848250937344.0,949725247307776.0,1183901561126912.0,3454851350528.0,1589771632640.0,4052157464576.0,5056733118464.0
27,229376,-0.0852256655907695,591.4516483694315,0.08780661066703033,915588847239168.0,434506641178624.0,1082221767163904.0,1353103274147840.0,915588847239168.0,434506641178624.0,1082221767163904.0,1353103274147840.0,4259796484096.0,1972619968512.0,5001882632192.0,6240634667008.0
28,237568,-0.07766108459600218,210.7135256435722,0.2574175576810376,950746979762176.0,453480397406208.0,1125522352373760.0,1406733859684352.0,950746979762176.0,453480397406208.0,1125522352373760.0,1406733859684352.0,5175385260032.0,2407126532096.0,6084104290304.0,7593738108928.0
29,245760,-0.06855885305139964,280.05474078655243,0.39055925999127794,1197591635165184.0,576154629046272.0,1419528835694592.0,1769670138920960.0,1197591635165184.0,576154629046272.0,1419528835694592.0,1769670138920960.0,6126132264960.0,2860607078400.0,7209626894336.0,9000472018944.0
